id	cluster_name	infomap	central_concept	concepticon_id	concepticon_gloss	family_frequency	language_frequency	word_frequency
2492	infomap_101_CUT (WITH SCISSORS)	101	CUT (WITH SCISSORS)	2155	CUT (WITH SCISSORS)	9	161	172
2493	infomap_130_FORBID	130	FORBID	49	REFUSE	45	505	807
2494	infomap_45_CAT	45	CAT	456	GUINEA FOWL	3	187	197
2495	infomap_149_APRIL	149	APRIL	2847	APRIL	22	179	189
2496	infomap_49_CRAB	49	CRAB	1555	CHAMELEON	15	95	96
2497	infomap_10_SON-IN-LAW (OF MAN)	10	SON-IN-LAW (OF MAN)	2265	DAUGHTER-IN-LAW (OF MAN)	57	326	376
2498	infomap_2_SEED	2	SEED	1405	NAME	178	2443	2736
2499	infomap_14_CHILD (DESCENDANT)	14	CHILD (DESCENDANT)	1058	STEPDAUGHTER	41	276	310
2500	infomap_109_MEDICINE	109	MEDICINE	395	PILL	20	34	39
2501	infomap_19_CHIEFTAIN	19	CHIEFTAIN	301	CHIEFTAIN	82	723	1107
2502	infomap_151_RARE	151	RARE	1082	MERCHANT	49	311	412
2503	infomap_50_STONE OR ROCK	50	STONE OR ROCK	1061	ARMOUR	34	223	272
2504	infomap_7_SPEAK	7	SPEAK	1939	SWEAR	32	432	549
2505	infomap_41_TWO	41	TWO	219	TOILET	24	106	137
2506	infomap_7_SPEAK	7	SPEAK	3169	TREATY	2	31	32
2507	infomap_1_GIVE	1	GIVE	1927	BAMBOO	81	1094	1299
2508	infomap_1_GIVE	1	GIVE	160	SET (HEAVENLY BODIES)	22	267	433
2509	infomap_1_GIVE	1	GIVE	3152	MUNTJACS	1	8	8
2510	infomap_72_MUTE	72	MUTE	2651	BE IGNORANT	2	13	13
2511	infomap_13_RED	13	RED	1369	GOLD	71	732	812
2512	infomap_122_STOCKING	122	STOCKING	2754	TOWARDS	3	50	66
2513	infomap_1_GIVE	1	GIVE	1206	BARKING	26	259	276
2514	infomap_1_GIVE	1	GIVE	2088	CLOTHING (CLASSIFIER)	3	97	102
2515	infomap_32_HAND	32	HAND	981	ELBOW	117	1340	1477
2516	infomap_5_TREE	5	TREE	10	FIREWOOD	85	837	949
2517	infomap_20_DARK	20	DARK	1230	DIRTY	97	1422	1773
2518	infomap_83_TIN OR TINPLATE	83	TIN OR TINPLATE	1867	COIN	50	296	375
2519	infomap_51_FOG	51	FOG	249	FOG	99	1329	1483
2520	infomap_1_GIVE	1	GIVE	214	STRETCH	57	541	710
2521	infomap_1_GIVE	1	GIVE	724	READ	70	667	781
2522	infomap_1_GIVE	1	GIVE	1415	THINK (REFLECT)	89	770	942
2523	infomap_29_BAT	29	BAT	699	SAD	21	167	203
2524	infomap_18_END (OF SPACE)	18	END (OF SPACE)	1529	LAST (FINAL)	72	607	736
2525	infomap_1_GIVE	1	GIVE	253	CARE FOR	1	125	233
2526	infomap_1_GIVE	1	GIVE	1911	DRAW (WATER)	27	209	231
2527	infomap_1_GIVE	1	GIVE	2271	THINK	40	669	819
2528	infomap_91_MASON	91	MASON	881	TAILOR	36	266	317
2529	infomap_87_MACHINE	87	MACHINE	638	MOTORCYCLE	20	35	40
2530	infomap_76_GOAT	76	GOAT	1344	RAM	45	474	693
2531	infomap_1_GIVE	1	GIVE	2485	HIDE (ONESELF)	21	131	158
2532	infomap_40_CIRCLE	40	CIRCLE	2303	SPHERICAL (ROUND IN THREE DIMENSIONS)	2	23	43
2533	infomap_58_MOUNTAIN	58	MOUNTAIN	639	MOUNTAIN	121	1663	1955
2534	infomap_36_BRIGHT	36	BRIGHT	2889	TWINKLE	19	104	126
2535	infomap_64_OLD	64	OLD	1669	ANCESTORS	60	422	509
2536	infomap_28_LEG	28	LEG	990	CREEK (TIDAL)	1	118	128
2537	infomap_132_CORPSE	132	CORPSE	1770	CARCASS	22	34	39
2538	infomap_1_GIVE	1	GIVE	363	DWELL (LIVE, RESIDE)	74	701	871
2539	infomap_57_PRICE	57	PRICE	3002	PRECIOUS	20	104	124
2540	infomap_96_NETBAG	96	NETBAG	1539	BASKET	72	890	1222
2541	infomap_23_HOOK	23	HOOK	2965	PAW	20	104	118
2542	infomap_9_GOOD	9	GOOD	1019	RIGHT	98	1482	1586
2543	infomap_55_BOW	55	BOW	3203	CANNON OR GUN	47	275	441
2544	infomap_146_SIGN	146	SIGN	2864	DECREASE	18	117	147
2545	infomap_103_PINE	103	PINE	968	ACORN	22	176	184
2546	infomap_45_CAT	45	CAT	3021	BLUE TONGUED SKINK	1	89	92
2547	infomap_123_PASTURE	123	PASTURE	3269	PORCH	2	24	39
2548	infomap_11_CLOTH	11	CLOTH	1895	CLOTHES	89	1008	1277
2549	infomap_24_MOUTH	24	MOUTH	2448	WILD DOG	1	5	5
2550	infomap_60_GRIEF	60	GRIEF	1000	ANXIETY	54	321	472
2551	infomap_1_GIVE	1	GIVE	81	FATHOM	35	235	287
2552	infomap_108_BRIDGE	108	BRIDGE	2556	OIL (HYDROPHOBIC LIQUID)	1	23	27
2553	infomap_1_GIVE	1	GIVE	2082	KNIFE (CLASSIFIER)	1	71	76
